Station,Total_influx_2012,Total_influx_2013,Total_influx_2014,Total_influx_2015,Total_influx_2016,Total_influx_2017,Total_influx_2018,Total_influx_2019,Latitude,Longitude
20 de Noviembre,367033,3269417,3607568,3874660,4150150,4215476,4326521,2480476,19.37192372,-99.17099833
Acatitla,5182670,4949291,4961783,3768231,4832704,4905853,5340589,3270609,19.3642515,-99.00597811
Aculco,3670704,3486566,3416587,3436202,3247038,3152734,3523188,2040507,19.37292574,-99.10739779
Agricola Oriental,3724121,3470231,3874686,3795431,3626499,3651505,3933652,2345852,19.40404596,-99.06982541
Allende,14245066,14078777,12681968,11808693,11425327,10920111,10605916,5847670,19.43547387,-99.13670897
Apatlaco,4832943,4370291,4811139,5073278,5243455,5332327,4894955,2949629,19.378298,-99.10934
Aquiles Serdan,7146988,6317053,5904210,5612941,6057188,5765053,5803378,3279949,19.489367,-99.194511
Aragon,2929011,2732838,2703820,2669995,2619656,2624161,2733501,1570730,19.45101356,-99.09598231
Atlalilco,6923536,8993418,19969711,19224328,9987470,9822993,10606560,6219024,19.35570839,-99.10157204
Auditorio,11000976,10900220,11063269,11520226,12218504,12096093,11693911,7372418,19.42530549,-99.19173717
Autobuses del Norte,8892726,9019743,8637817,8591750,8682345,8211462,8357253,4680911,19.478595000000002,-99.14047099999999
Azcapotzalco,2712965,2630544,2834420,3166394,3058994,2970709,2935018,1647256,19.49067553,-99.18621182
Balbuena,8392031,5738939,5442959,5095489,4942850,4551153,4791005,2783452,19.42288725,-99.10281658
Balderas,12405010,11119396,11287903,11172304,11136384,10650748,10348712,5855103,19.42692438,-99.14881109999999
Barranca del Muerto,11918034,13802760,13282149,13694853,14508378,15078243,16085373,9500034,19.361488199999997,-99.18895841
Bellas Artes,16206740,18260665,18080634,19652747,20105901,19419770,19340059,12534182,19.43649573,-99.14061427
Blvd. Puerto Aereo,15955571,11028780,10768640,10789494,9663402,9012202,8351742,5054043,19.41958866,-99.09606814
Bondojito,2587731,2372217,2323324,2438388,2459781,2296986,2393689,1341692,19.46450842,-99.1117537
Bosque de Aragon,2515504,2561524,2439730,2416316,2496091,2352976,2234978,1167794,19.45807473,-99.06927824
Buenavista,19339419,21180420,20722413,21507558,21423610,21644709,22023270,12474577,19.44615757,-99.15289879
Calle 11,594520,4493840,858889,635128,4425985,4688487,5013591,2996583,19.32025578,-99.08486724
Camarones,5652396,5512976,5420195,5503112,5508612,5285813,5694915,3298864,19.47873042,-99.18894768
