Año,Línea,Estación,Total
2011,1,Pantitlán,"16,077,171"
2011,1,Zaragoza,"18,959,339"
2011,1,Gómez Farías,"15,429,736"
2011,1,Blvd. Puerto Aéreo,"13,718,223"
2011,1,Balbuena,"6,902,582"
2011,1,Moctezuma,"11,574,301"
2011,1,San Lázaro,"11,179,832"
2011,1,Candelaria,"7,995,609"
2011,1,Merced,"14,940,447"
2011,1,Pino Suárez,"10,590,554"
2011,1,Isabel la Católica,"9,800,555"
2011,1,Salto del Agua,"8,613,710"
2011,1,Balderas,"7,689,426"
2011,1,Cuauhtémoc,"9,237,073"
2011,1,Insurgentes,"18,624,849"
2011,1,Sevilla,"13,238,090"
2011,1,Chapultepec,"21,453,741"
2011,1,Juanacatlán,"5,488,875"
2011,1,Tacubaya,"14,125,389"
2011,1,Observatorio,"23,932,757"
2011,2,Cuatro Caminos,"45,242,105"
2011,2,Panteones,"5,355,524"
2011,2,Tacuba,"14,800,119"
2011,2,Cuitláhuac,"10,128,113"
2011,2,Popotla,"4,518,647"
2011,2,Colegio Militar,"7,090,515"
2011,2,Normal,"14,948,508"
2011,2,San Cosme,"11,561,780"
2011,2,Revolución,"13,290,723"
2011,2,Hidalgo,"14,131,283"
2011,2,Bellas Artes,"8,934,182"
2011,2,Allende,"13,272,135"
2011,2,Zócalo,"18,417,493"
2011,2,Pino Suárez,"9,044,823"
2011,2,San Antonio Abad,"9,978,540"
2011,2,Chabacano,"11,273,574"
2011,2,Viaducto,"10,001,393"
2011,2,Xola,"9,657,500"
2011,2,Villa de Cortés,"8,894,871"
2011,2,Nativitas,"9,523,569"
2011,2,Portales,"9,424,838"
2011,2,Ermita,"9,317,992"
2011,2,General Anaya,"13,335,351"
2011,2,Tasqueña,"35,750,569"
2011,3,Indios Verdes,"37,099,748"
2011,3,Deptvo. 18 de Marzo,"15,144,308"
2011,3,Potrero,"8,816,344"
2011,3,La Raza,"13,802,967"
2011,3,Tlatelolco,"9,499,965"
2011,3,Guerrero,"5,045,817"
2011,3,Hidalgo,"6,703,526"
2011,3,Juárez,"7,611,455"
2011,3,Balderas,"2,787,523"
2011,3,Niños Héroes,"7,156,101"
2011,3,Hospital General,"9,024,726"
2011,3,Centro Médico,"8,172,404"
2011,3,Etiopía,"12,457,342"
2011,3,Eugenia,"8,074,037"
2011,3,División del Norte,"9,007,481"
2011,3,Zapata,"14,695,199"
2011,3,Coyoacán,"8,468,255"
2011,3,Viveros,"9,436,727"
2011,3,Miguel A. de Q.,"11,620,702"
2011,3,Copilco,"14,082,227"
2011,3,Universidad,"22,843,441"
2011,4,Santa Anita,"1,397,178"
2011,4,Jamaica,"2,899,723"
2011,4,Fray Servando,"2,848,899"
2011,4,Candelaria,"2,622,928"
2011,4,Morelos,"3,009,675"
2011,4,Canal del Norte,"3,239,402"
2011,4,Consulado,"1,856,817"
2011,4,Bondojito,"2,817,268"
2011,4,Talismán,"2,575,768"
2011,4,Martín Carrera,"7,761,003"
2011,5,Politécnico,"12,715,287"
2011,5,Inst. del Petróleo,"2,710,174"
2011,5,Autobuses del Norte,"8,523,894"
2011,5,La Raza,"4,673,070"
2011,5,Misterios,"3,678,301"
2011,5,Valle Gómez,"1,766,417"
2011,5,Consulado,"2,200,230"
2011,5,Eduardo Molina,"3,129,424"
2011,5,Aragón,"3,132,506"
2011,5,Oceanía,"3,470,561"
2011,5,Terminal Aérea,"5,843,503"
2011,5,Hangares,"2,073,411"
2011,5,Pantitlán,"19,760,978"
2011,6,El Rosario,"8,864,795"
2011,6,Tezozomoc,"2,516,513"
2011,6,Azcapotzalco,"3,727,837"
2011,6,Ferrería,"7,804,274"
