Año,Línea,Estación,Total
2013,1,Pantitlán,"18,063,657"
2013,1,Zaragoza,"22,357,078"
2013,1,Gómez Farías,"15,262,126"
2013,1,Blvd. Puerto Aéreo,"11,028,780"
2013,1,Balbuena,"5,738,939"
2013,1,Moctezuma,"11,470,859"
2013,1,San Lázaro,"10,737,300"
2013,1,Candelaria,"8,696,602"
2013,1,Merced,"19,874,308"
2013,1,Pino Suárez,"12,604,981"
2013,1,Isabel la Católica,"8,921,844"
2013,1,Salto del Agua,"9,550,935"
2013,1,Balderas,"8,204,737"
2013,1,Cuauhtémoc,"7,588,755"
2013,1,Insurgentes,"21,933,745"
2013,1,Sevilla,"11,660,193"
2013,1,Chapultepec,"20,515,860"
2013,1,Juanacatlán,"4,862,266"
2013,1,Tacubaya,"12,824,743"
2013,1,Observatorio,"27,105,718"
2013,2,Cuatro Caminos,"46,056,083"
2013,2,Panteones,"4,848,887"
2013,2,Tacuba,"14,386,507"
2013,2,Cuitláhuac,"7,678,662"
2013,2,Popotla,"3,964,761"
2013,2,Colegio Militar,"5,723,025"
2013,2,Normal,"14,522,923"
2013,2,San Cosme,"10,387,074"
2013,2,Revolución,"12,275,047"
2013,2,Hidalgo,"13,124,301"
2013,2,Bellas Artes,"11,022,008"
2013,2,Allende,"14,078,777"
2013,2,Zócalo,"25,244,785"
2013,2,Pino Suárez,"10,461,923"
2013,2,San Antonio Abad,"7,801,693"
2013,2,Chabacano,"9,609,998"
2013,2,Viaducto,"8,596,630"
2013,2,Xola,"7,943,060"
2013,2,Villa de Cortés,"7,030,335"
2013,2,Nativitas,"8,435,785"
2013,2,Portales,"8,452,849"
2013,2,Ermita,"6,617,373"
2013,2,General Anaya,"11,870,161"
2013,2,Tasqueña,"29,811,156"
2013,3,Indios Verdes,"45,476,701"
2013,3,Deptvo. 18 de Marzo,"15,917,550"
2013,3,Potrero,"7,911,896"
2013,3,La Raza,"12,392,170"
2013,3,Tlatelolco,"8,419,675"
2013,3,Guerrero,"4,539,020"
2013,3,Hidalgo,"7,503,792"
2013,3,Juárez,"7,398,241"
2013,3,Balderas,"2,914,659"
2013,3,Niños Héroes,"6,983,816"
2013,3,Hospital General,"8,904,046"
2013,3,Centro Médico,"8,304,787"
2013,3,Etiopía,"11,355,237"
2013,3,Eugenia,"6,711,970"
2013,3,División del Norte,"7,614,497"
2013,3,Zapata,"11,733,752"
2013,3,Coyoacán,"10,029,709"
2013,3,Viveros,"9,181,461"
2013,3,Miguel A. de Q.,"11,588,296"
2013,3,Copilco,"15,226,335"
2013,3,Universidad,"26,934,814"
2013,4,Santa Anita,"968,671"
2013,4,Jamaica,"2,628,782"
2013,4,Fray Servando,"2,990,366"
2013,4,Candelaria,"2,700,625"
2013,4,Morelos,"3,001,979"
2013,4,Canal del Norte,"3,408,574"
2013,4,Consulado,"1,661,677"
2013,4,Bondojito,"2,372,217"
2013,4,Talismán,"2,296,547"
2013,4,Martín Carrera,"8,186,784"
2013,5,Politécnico,"12,826,894"
2013,5,Inst. del Petróleo,"2,166,402"
2013,5,Autobuses del Norte,"9,019,743"
2013,5,La Raza,"3,872,902"
2013,5,Misterios,"3,062,814"
2013,5,Valle Gómez,"1,621,149"
2013,5,Consulado,"1,889,343"
2013,5,Eduardo Molina,"2,778,187"
2013,5,Aragón,"2,732,838"
2013,5,Oceanía,"3,079,651"
2013,5,Terminal Aérea,"5,536,824"
2013,5,Hangares,"1,864,860"
2013,5,Pantitlán,"33,863,243"
2013,6,El Rosario,"6,395,547"
2013,6,Tezozomoc,"2,323,243"
2013,6,Azcapotzalco,"2,630,544"
2013,6,Ferrería,"8,116,118"
2013,6,Norte 45,"2,648,537"
2013,6,Vallejo,"2,390,019"
2013,6,Inst. del Petróleo,"1,406,332"
2013,6,Lindavista,"4,783,264"
2013,6,Deptvo. 18 de Marzo,"1,162,379"
2013,6,La Villa-Basilica,"5,562,583"
2013,6,Martín Carrera,"12,125,085"
2013,7,El Rosario,"13,686,170"
2013,7,Aquiles Serdán,"6,317,053"
2013,7,Camarones,"5,512,976"
2013,7,Refinería,"3,578,888"
2013,7,Tacuba,"2,543,575"
2013,7,San Joaquín,"7,131,780"
2013,7,Polanco,"10,543,898"
2013,7,Auditorio,"10,900,220"
2013,7,Constituyentes,"3,655,930"
2013,7,Tacubaya,"2,530,426"
2013,7,San Pedro los Pinos,"3,884,675"
2013,7,San Antonio,"5,575,555"
2013,7,Mixcoac,"8,309,487"
2013,7,Barranca del Muerto,"13,802,760"
2013,8,Garibaldi,"7,758,638"
2013,8,Bellas Artes,"7,238,657"
2013,8,San Juan Letrán,"11,384,382"
2013,8,Salto del Agua,"6,997,398"
2013,8,Doctores,"4,295,756"
2013,8,Obrera,"4,138,066"
2013,8,Chabacano,"1,380,675"
2013,8,La Viga,"2,522,565"
2013,8,Santa Anita,"2,339,487"
2013,8,Coyuya,"7,866,281"
2013,8,Iztacalco,"7,889,601"
2013,8,Apatlaco,"4,370,291"
2013,8,Aculco,"3,486,566"
2013,8,Escuadrón 201,"8,593,219"
2013,8,Atlalilco,"5,527,080"
2013,8,Iztapalapa,"4,414,140"
2013,8,Cerro de la Estrella,"4,366,303"
2013,8,U A M  I,"8,854,542"
2013,8,Constitución de 1917,"30,304,731"
2013,9,Pantitlán,"38,042,808"
2013,9,Puebla,"12,162,030"
2013,9,Ciudad Deportiva,"3,269,661"
2013,9,Velódromo,"3,517,196"
2013,9,Mixiuhca,"7,672,275"
2013,9,Jamaica,"4,397,135"
2013,9,Chabacano,"3,089,701"
2013,9,Lázaro Cárdenas,"4,847,806"
2013,9,Centro Médico,"5,032,851"
2013,9,Chilpancingo,"16,785,180"
2013,9,Patriotismo,"6,690,207"
2013,9,Tacubaya,"18,263,839"
2013,A,Pantitlán,"31,586,983"
2013,A,Agrícola Oriental,"3,470,231"
2013,A,Canal de San Juan,"4,877,568"
2013,A,Tepalcates,"5,247,805"
2013,A,Guelatao,"6,339,908"
2013,A,Peñón Viejo,"4,817,577"
2013,A,Acatitla,"4,949,291"
2013,A,Santa Marta,"9,607,048"
2013,A,Los Reyes,"6,572,638"
2013,A,La Paz,"11,527,646"
2013,B,Buenavista,"21,180,420"
2013,B,Guerrero,"2,092,352"
2013,B,Garibaldi,"3,332,616"
2013,B,Lagunilla,"10,282,763"
2013,B,Tepito,"9,453,517"
2013,B,Morelos,"1,744,627"
2013,B,San Lázaro,"5,424,129"
2013,B,Ricardo Flores Magón,"2,492,573"
2013,B,Romero Rubio,"3,552,826"
2013,B,Oceanía,"3,985,375"
2013,B,Deportivo Oceanía,"6,397,418"
2013,B,Bosque de Aragón,"2,561,524"
2013,B,Villa de Aragón,"5,296,168"
2013,B,Nezahualcóyotl,"9,181,293"
2013,B,Impulsora,"10,258,979"
2013,B,Río de los Remedios,"8,545,140"
2013,B,Múzquiz,"12,717,810"
2013,B,Tecnológico,"10,454,266"
2013,B,Olímpica,"7,414,883"
2013,B,Plaza Aragón,"8,051,697"
2013,B,Ciudad Azteca,"23,999,979"
2013,12,Tláhuac,"12,620,535"
2013,12,Tlaltenco,"783,193"
2013,12,Zapotitlán,"4,099,359"
2013,12,Nopalera,"5,100,859"
2013,12,Olivos,"4,755,272"
2013,12,Tezonco,"6,137,160"
2013,12,Periférico Oriente,"8,239,154"
2013,12,Calle 11,"4,493,840"
2013,12,Lomas Estrella,"2,820,339"
2013,12,San Andrés Tomatlán,"3,136,383"
2013,12,Culhuacán,"4,097,340"
2013,12,Atlalilco,"3,466,338"
2013,12,Mexicaltzingo,"4,716,790"
2013,12,Ermita,"2,861,374"
2013,12,Eje Central,"2,727,154"
2013,12,Parque de los Venados,"2,905,622"
2013,12,Zapata,"3,808,072"
2013,12,20 de Noviembre,"3,269,417"
2013,12,Insurgentes Sur,"8,056,989"
2013,12,Mixcoac,"3,887,542"
