Year,Line,Station,Influx
2014,1,Pantitlan,17153569
2014,1,Zaragoza,19655974
2014,1,Gomez Farias,15350466
2014,1,Blvd. Puerto Aereo,10768640
2014,1,Balbuena,5442959
2014,1,Moctezuma,9642142
2014,1,San Lazaro,11285786
2014,1,Candelaria,9308818
2014,1,Merced,19652429
2014,1,Pino Suarez,12276607
2014,1,Isabel la Catolica,8731440
2014,1,Salto del Agua,9151061
2014,1,Balderas,8113226
2014,1,Cuauhtemoc,7842706
2014,1,Insurgentes,22607506
2014,1,Sevilla,11700900
2014,1,Chapultepec,20433581
2014,1,Juanacatlan,4672595
2014,1,Tacubaya,12881925
2014,1,Observatorio,27036330
2014,2,Cuatro Caminos,41904523
2014,2,Panteones,4902826
2014,2,Tacuba,13798522
2014,2,Cuitlahuac,7228431
2014,2,Popotla,3729954
2014,2,Colegio Militar,5774657
2014,2,Normal,13353961
2014,2,San Cosme,10729878
2014,2,Revolucion,9037751
2014,2,Hidalgo,12862130
2014,2,Bellas Artes,10174401
2014,2,Allende,12681968
2014,2,Zocalo,26402602
2014,2,Pino Suarez,9579924
2014,2,San Antonio Abad,8712209
2014,2,Chabacano,9872380
2014,2,Viaducto,7903530
2014,2,Xola,7539018
2014,2,Villa de Cortes,6974986
2014,2,Nativitas,8077264
2014,2,Portales,7954929
2014,2,Ermita,6204256
2014,2,General Anaya,11993457
2014,2,Tasquena,31847185
2014,3,Indios Verdes,44066501
2014,3,Deptvo. 18 de Marzo,15047813
2014,3,Potrero,7184004
2014,3,La Raza,11974008
2014,3,Tlatelolco,7815836
2014,3,Guerrero,4678297
2014,3,Hidalgo,6813719
2014,3,Juarez,7037722
2014,3,Balderas,3174677
2014,3,Ninos Heroes,6880404
2014,3,Hospital General,8815281
2014,3,Centro Medico,7853706
2014,3,Etiopia,10921783
2014,3,Eugenia,6658355
2014,3,Division del Norte,7247832
2014,3,Zapata,10521875
2014,3,Coyoacan,9679497
2014,3,Viveros,8676216
2014,3,Miguel A. de Q.,11243904
2014,3,Copilco,14898388
2014,3,Universidad,26205477
2014,4,Santa Anita,1063158
2014,4,Jamaica,2699955
2014,4,Fray Servando,2884276
2014,4,Candelaria,2717641
2014,4,Morelos,2946711
