,2012,2018,
Pantitlan," 97,178,544.00 "," 125,926,444.00 "," 28,747,900.00 "
Indios Verdes," 40,125,405.00 "," 40,302,169.00 "," 176,764.00 "
Cuatro Caminos," 42,933,161.00 "," 39,886,917.00 "," (3,046,244.00)"
Tacubaya," 43,822,311.00 "," 32,259,965.00 "," (11,562,346.00)"
Constitucion de 1917," 26,456,800.00 "," 31,911,394.00 "," 5,454,594.00 "
Tasquena," 40,847,631.00 "," 29,175,678.00 "," (11,671,953.00)"
Universidad," 28,760,314.00 "," 27,199,538.00 "," (1,560,776.00)"
Observatorio," 24,936,832.00 "," 26,970,170.00 "," 2,033,338.00 "
Zocalo," 19,651,029.00 "," 26,421,132.00 "," 6,770,103.00 "
Ciudad Azteca," 23,647,562.00 "," 21,343,822.00 "," (2,303,740.00)"
